,id,compania,tarifa,tp_punta_euros/kwh/dia,tp_valle_euros/kwh/dia,peaje_tran_dist_pot_punta,peaje_tran_dist_pot_valle,peaje_ener_valle_tdc,peaje_ener_llano_tdc,peaje_ener_punta_tdc,termino_consumo_euros/kwh/hora,tc_valle_euros/kwh/hora,tc_llano_euros/kwh/hora,tc_punta_euros/kwh/hora,tc_8h_euros/kwh/hora,tc_16h_euros/kwh/hora,mercado,tipo,otros,alquiler_equipo_euros/dia,impuesto_actual,bono_social_euro/dia,margen_euros/kWh/dia,consumo_valle,consumo_llano,consumo_punta,total_actual,total_factura,coste_valle,coste_llano,coste_punta
29,29,Pepe Energy,Fija,0.069567,0.0807,0.0081915,0.000527,0.002752,0.027963,0.076974,0.168,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,76.34964559893,16.8,16.8,16.8
30,30,Aldro,Facil Luz,0.086749,0.05,0.0081915,0.000527,0.002752,0.027963,0.076974,0.119,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,57.80602356770999,11.899999999999999,11.899999999999999,11.899999999999999
31,31,Gana Energia,24 Horas,0.123,0.05,0.0081915,0.000527,0.002752,0.027963,0.076974,0.119,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,61.95548667,11.899999999999999,11.899999999999999,11.899999999999999
32,32,CHC Energia,Plan Ilumina,0.081417,0.081417,0.0081915,0.000527,0.002752,0.027963,0.076974,0.149736,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,71.45301878286001,14.973600000000001,14.973600000000001,14.973600000000001
33,33,CHC Energia,Plan Ilumina Promo,0.081417,0.081417,0.0081915,0.000527,0.002752,0.027963,0.076974,0.118958,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,60.77726936886,11.8958,11.8958,11.8958
34,34,CHC Energia,Plan Ilumina Duo,0.05402,0.05402,0.0081915,0.000527,0.002752,0.027963,0.076974,0.195736,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,81.1367330796,19.5736,19.5736,19.5736
35,35,CHC Energia,Plan Ilumina Duo Promo,0.075527,0.008654,0.0081915,0.000527,0.002752,0.027963,0.076974,0.149736,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,62.45001965499001,14.973600000000001,14.973600000000001,14.973600000000001
36,36,CatGas Energia,2.0TD L,0.08951,0.0287671,0.0081915,0.000527,0.002752,0.027963,0.076974,0.132,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,60.20086041330901,13.200000000000001,13.200000000000001,13.200000000000001
37,37,Integra Energia,2.0TD,0.069566,0.02954,0.0081915,0.000527,0.002752,0.027963,0.076974,0.09,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,43.438198477739995,9.0,9.0,9.0
38,38,Bassols Energia,Hogar 24h,0.089036,0.019343,0.0081915,0.000527,0.002752,0.027963,0.076974,0.159081,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,68.46127337841,15.9081,15.9081,15.9081
