id,compañia,tarifa,tp_punta_euros/kwh/dia,tp_valle_euros/kwh/dia,peaje_tran_dist_pot_valle,peaje_tran_dist_pot_punta,peaje_tran_dist_ener_valle,peaje_tran_dist_ener_llano,peaje_tran_dist_ener_punta,termino_consumo_euros/kwh/hora,tc_valle_euros/kwh/hora,tc_llano_euros/kwh/hora,tc_punta_euros/kwh/hora,tc_8h_euros/kwh/hora,tc_16h_euros/kwh/hora,mercado,tipo,otros,alquiler_equipo_euros/dia,impuesto_actual,bono_social_euro/dia
84,Acis Energia,Ecoluz Smart,"0,1068701","0,0439183","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,139983","0,155717","0,196733",,,Libre,TRAMOS,,"0,026557","5,11",
85,Acis Energia,Ecoluz Equal,"0,1059412","0,1627939","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,152632","0,175846","0,224074",,,Libre,TRAMOS,,"0,026557","5,11",
86,Acis Energia,Ecoluz Evolution,"0,1029279","0,1618380","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,125065","0,151355","0,20233",,,Libre,TRAMOS,,"0,026557","5,11",
87,Estabanell Energia,Dinámico horario ahorro,"0,0846760","0,0332480","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,132883","0,155279","0,205316",,,Libre,TRAMOS,,"0,026557","5,11",
88,Estabanell Energia,Plan vehículo eléctrico,"0,0867490","0,0026470","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,089968","0,138269","0,199895",,,Libre,TRAMOS,,"0,026557","5,11",
89,Estabanell Energia,Solar,"0,0867490","0,0026470","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,097248","0,113646","0,198136",,,Libre,TRAMOS,,"0,026557","5,11",
90,Iberdrola,Plan Online 3 Periodos,"0,0821918","0,0136986","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,083660","0,113646","0,160971",,,Libre,TRAMOS,,"0,026557","5,11",
91,E Distribucion,PVPC,"0,0643010","0,0026330","0,002128","0,061375","0,000002","0,000053","0,000091",,"0,115065","0,141355","0,19233",,,Regulado,PVPC,,"0,026557","5,11","0,006282"
92,Energya VM,PVPC,"0,0904110","0,0465754","0,002128","0,061375","0,000002","0,000053","0,000091",,"0,115065","0,141355","0,19233",,,Regulado,PVPC,,"0,026557","5,11","0,006282"
93,Energya VM,Formula 3 periodos,"0,0791770","0,0027288","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,099810","0,118800","0,145800",,,Libre,TRAMOS,,"0,026557","5,11",
94,Gesternova,PVPC,"0,0775730","0,0108440","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,115065","0,141355","0,19233",,,Regulado,PVPC,,"0,026557","5,11","0,006282"
95,Gesternova,Tarifa Bateria Virtual (solar),"0,0600690","0,0600690","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,12507","0,15136","0,20238",,,Libre,TRAMOS,,"0,026557","5,11",
96,Gesternova,Tarifa horas,"0,0775730","0,0108440","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,139449","0,174752","0,233932",,,Libre,TRAMOS,,"0,026557","5,11",
97,Xenera ,A vaquiña contigo,"0,0703570","0,0703570","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,074988","0,134225","0,187164",,,Libre,TRAMOS,3,"0,026557","5,11",
98,Xenera ,A vaquina en casa,"0,0703570","0,0703570","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,12507","0,15136","0,168687",,,Libre,TRAMOS,3,"0,026557","5,11",
99,Iris Energia,Tarifa estable,"0,0873744","0,0204626","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,149402","0,164994","0,220819",,,Libre,TRAMOS,,"0,026557","5,11",
100,Eres Energia,2.0,"0,0793000","0,0196000","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,117000","0,147500","0,204500",,,Libre,TRAMOS,,"0,026557","5,11",
101,Fortuluz,Precio indexado fijo,"0,0879550","0,0138030","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,105167","0,129574","0,175753",,,Libre,TRAMOS,,"0,026557","5,11",
102,Fortuluz,A contraluz,"0,0969620","0,0218320","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,138047","0,182545","0,231757",,,Libre,TRAMOS,,"0,026557","5,11",
103,Aduriz Energia,coste + fija,"0,0800388","0,0031407","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,093282","0,129895","0,179284",,,Libre,TRAMOS,"3,72","0,026557","5,11",
