id;compania;tarifa;tp_punta_euros/kwh/dia;tp_valle_euros/kwh/dia;peaje_tran_dist_pot_punta;peaje_tran_dist_pot_valle;peaje_ener_valle_tdc;peaje_ener_llano_tdc;peaje_ener_punta_tdc;termino_consumo_euros/kwh/hora;tc_valle_euros/kwh/hora;tc_llano_euros/kwh/hora;tc_punta_euros/kwh/hora;tc_8h_euros/kwh/hora;tc_16h_euros/kwh/hora;mercado;tipo;otros;alquiler_equipo_euros/dia;impuesto_actual;bono_social_euro/dia;margen_euros/kWh/dia
39;Acis Energia;Ecoluz Free;0.1068701;0.0439183;0.0081915;0.000527;0.002752;0.027963;0.076974;0.168451;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
40;Estabanell Energia;Dinámico sin horarios;0.084676;0.033248;0.0081915;0.000527;0.002752;0.027963;0.076974;0.1589;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
41;Iberdrola;Plan Online;0.0958904;0.0410959;0.0081915;0.000527;0.002752;0.027963;0.076974;0.10942;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
42;Iberdrola;Plan Mas Ahorro;0.1081918;0.042411;0.0081915;0.000527;0.002752;0.027963;0.076974;0.143;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
43;Iberdrola;Plan Estable Verde;0.1081918;0.042411;0.0081915;0.000527;0.002752;0.027963;0.076974;0.155;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
44;Iberdrola;Plan Estable;0.1081918;0.042411;0.0081915;0.000527;0.002752;0.027963;0.076974;0.135;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
45;Mas Movil Energia;Precio Fijo;0.1189;0.052;0.0081915;0.000527;0.002752;0.027963;0.076974;0.128;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
46;Energya VM;Formula fija 24 horas;0.090411;0.0465754;0.0081915;0.000527;0.002752;0.027963;0.076974;0.09975;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
47;Energya VM;Formula fija 24 horas asistencia;0.090411;0.0465754;0.0081915;0.000527;0.002752;0.027963;0.076974;0.0931;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
48;Gesternova;Tarifa facil;0.044809;0.044809;0.0081915;0.000527;0.002752;0.027963;0.076974;0.156889;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
49;Xenera ;A vaquiña contigo unica;0.070357;0.070357;0.0081915;0.000527;0.002752;0.027963;0.076974;0.131388;0;0;0;0;0;Libre;FIJO;3;0.026557;5.11;0;
50;Xenera ;A vaquiña fija;0.070357;0.070357;0.0081915;0.000527;0.002752;0.027963;0.076974;0.125052;0;0;0;0;0;Libre;FIJO;3;0.026557;5.11;0;
51;Iris Energia;Fija relax;0.0983333;0.0314215;0.0081915;0.000527;0.002752;0.027963;0.076974;0.181958;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
52;Iris Energia;Residencial promocional;0.0832648;0.0575342;0.0081915;0.000527;0.002752;0.027963;0.076974;0.151646;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
53;Iris Energia;Residencial promocional plus;0.0832648;0.0574489;0.0081915;0.000527;0.002752;0.027963;0.076974;0.167846;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
54;Watium;2;0.0969635;0.0738873;0.0081915;0.000527;0.002752;0.027963;0.076974;0.107939;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
55;Fortuluz;Precio unico;0.096962;0.021832;0.0081915;0.000527;0.002752;0.027963;0.076974;0.177535;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
56;Naturgy;Noche;0.1037;0.034;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.0821;0.1162;0.17;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
57;Cepsa (Podo);Flexi Dos;0.08;0.004;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.148;0.148;0.195;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
58;Endesa;OneLuz 3 periodos;0.1057847;0.0388729;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.091271;0.123047;0.183535;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
59;Energia XXI;PVPC;0.0081915;0.000527;0.061375;0.002128;0.002752;0.027963;0.076974;0;0.115065;0.141355;0.19233;0;0;Regulado;PVPC;0;0.026557;5.11;0.033886;0.008528767
60;EDP;Solar Duo;0.0942237;0.0273119;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.105;0.183;0.183;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
61;EDP;Solar Duo;0.0942237;0.0273119;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.105;0.183;0.183;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
62;EDP;Ahorro Solar;0.0942237;0.0273119;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.125;0.145;0.183;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
63;EDP;Ahorro Solar;0.0942237;0.0273119;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.105;0.131;0.181;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
64;Comercializadora de Ultimo Recurso;PVPC;0.0081915;0.000527;0.061375;0.002128;0.002752;0.027963;0.076974;0;0.115065;0.141355;0.19233;0;0;Regulado;PVPC;0;0.026557;5.11;0.033886;0.008528767
65;Baser;PVPC;0.0081915;0.000527;0.061375;0.002128;0.002752;0.027963;0.076974;0;0.115065;0.141355;0.19233;0;0;Regulado;PVPC;0;0.026557;5.11;0.033886;0.008528767
66;TotalEnergies;A Tu Aire Ahorro;0.0684;0.0684;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.0841;0.1012;0.1442;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
67;Lucera;Precio de coste;0.07;0.003;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.096;0.13;0.182;0;0;Libre;TRAMOS;4.9;0.026557;5.11;0;
68;Imagina;Plan noches y findes;0.021;0.095;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.092;0.121;0.178;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
69;Factor;Fija;0.0805;0.0031;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.1583;0.2175;0.2627;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
70;EnergyGO;Variable;0.0887;0.0228;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.1207;0.1508;0.1999;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
71;Escandinava de Electri;Transparente;0.077885;0.008382;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.105974;0.136567;0.188975;0;0;Libre;TRAMOS;3.9;0.026557;5.11;0;
72;Som Energia;Por Periodos;0.0752712;0.0083808;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.118;0.154;0.212;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
73;Fenie Energia;PRECIO 3 PERIODOS 2.0TD;0.069566;0.002654;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.159096;0.184857;0.247023;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
74;Fenie Energia;NUESTRO MEJOR PRECIO kWh 2.0TD;0.11701;0.03377;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.081376;0.107137;0.169303;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
75;Pepe Energy;Variable;0.069567;0.0807;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.1482;0.1817;0.2335;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
76;Aldro;Tendencia Luz;0.0694;0.0026;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.08;0.114;0.168;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
77;Gana Energia;Precio de Mercado;0.0694;0.0026;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.08;0.114;0.168;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
78;CHC Energia;Plan Confianza Base;0.162835;0.162835;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.175736;0.175736;0.232736;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
79;CatGas Energia;2.0TD;0.08951;0.0287671;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.115065;0.141355;0.19233;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
80;Integra Energia;2.0TD DH;0.13;0.13;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.115065;0.141355;0.19233;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
81;GoiEner;2.0TD;0.0750456;0.0081338;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.181588;0.217756;0.275113;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
82;Bassols Energia;Luz a Precio de Coste;0.069566;0.002654;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.114175;0.152696;0.203805;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
83;Bassols Energia;Hogar Ahorro;0.089036;0.019343;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.129302;0.154889;0.204944;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
84;Acis Energia;Ecoluz Smart;0.1068701;0.0439183;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.139983;0.155717;0.196733;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
85;Acis Energia;Ecoluz Equal;0.1059412;0.1627939;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.152632;0.175846;0.224074;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
86;Acis Energia;Ecoluz Evolution;0.1029279;0.161838;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.125065;0.151355;0.20233;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
87;Estabanell Energia;Dinámico horario ahorro;0.084676;0.033248;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.132883;0.155279;0.205316;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
88;Estabanell Energia;Plan vehículo eléctrico;0.086749;0.002647;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.089968;0.138269;0.199895;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
89;Estabanell Energia;Solar;0.086749;0.002647;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0.097248;0.113646;0.198136;0;0;Libre;TRAMOS;0;0.026557;5.11;0;
